Var1,id,class,x1,y1,x2,y2
115,img_115.png,BudweiserLata,-0.801039173201735,17.9885288015672,91.9657998928934,89.7558966680272
116,img_116.png,BudweiserLata,-0.801039173201735,17.9885288015672,91.9657998928934,89.7558966680272
117,img_117.png,BudweiserLata,40.3034016089188,44.7315550996364,104.44405331292,75.7540650598591
118,img_118.png,BudweiserLata,40.3034016089188,44.7315550996364,104.44405331292,75.7540650598591
119,img_119.png,BudweiserLata,40.3034016089188,44.7315550996364,104.44405331292,75.7540650598591
120,img_120.png,BudweiserLata,48.2374851003111,42.471755537741,65.204799454559,80.2144133869446
121,img_121.png,BudweiserLata,48.2374851003111,42.471755537741,65.204799454559,80.2144133869446
122,img_122.png,BudweiserLata,48.2374851003111,42.471755537741,65.204799454559,80.2144133869446
123,img_123.png,BudweiserLata,46.2130479368758,21.7106441399728,58.7219453741145,73.7914341535
124,img_124.png,BudweiserLata,46.2130479368758,21.7106441399728,58.7219453741145,73.7914341535
125,img_125.png,BudweiserLata,46.2130479368758,21.7106441399728,58.7219453741145,73.7914341535
126,img_126.png,BudweiserLata,16.3705754654594,3.47951954021944,88.5263876936325,112.094064313664
127,img_127.png,BudweiserLata,16.3705754654594,3.47951954021944,88.5263876936325,112.094064313664
128,img_128.png,BudweiserLata,16.3705754654594,3.47951954021944,88.5263876936325,112.094064313664
129,img_129.png,BudweiserLata,52.0477469554379,44.0164303639089,66.9005982943355,46.5417485610118
130,img_130.png,BudweiserLata,52.0477469554379,44.0164303639089,66.9005982943355,46.5417485610118
131,img_131.png,BudweiserLata,52.0477469554379,44.0164303639089,66.9005982943355,46.5417485610118
132,img_132.png,BudweiserLata,4.87483108426114,36.9055297119977,105.233748017016,83.3494768698433
133,img_133.png,BudweiserLata,4.87483108426114,36.9055297119977,105.233748017016,83.3494768698433
134,img_134.png,BudweiserLata,4.87483108426114,36.9055297119977,105.233748017016,83.3494768698433
135,img_135.png,BudweiserLata,34.5243303022924,31.3654085496478,83.567425015752,117.055479730615
136,img_136.png,BudweiserLata,34.5243303022924,31.3654085496478,83.567425015752,117.055479730615
137,img_137.png,BudweiserLata,34.5243303022924,31.3654085496478,83.567425015752,117.055479730615
138,img_138.png,BudweiserLata,3.77967137187642,34.4193446260917,94.6914231071228,92.5661259488502
139,img_139.png,BudweiserLata,3.77967137187642,34.4193446260917,94.6914231071228,92.5661259488502
140,img_140.png,BudweiserLata,3.77967137187642,34.4193446260917,94.6914231071228,92.5661259488502
141,img_141.png,BudweiserLata,39.7603622033081,1.05731565462777,97.5334984031563,115.944052410583
142,img_142.png,BudweiserLata,39.7603622033081,1.05731565462777,97.5334984031563,115.944052410583
143,img_143.png,BudweiserLata,39.7603622033081,1.05731565462777,97.5334984031563,115.944052410583
144,img_144.png,BudweiserLata,58.866454293819,47.2662963409704,57.9245748627541,59.0769755264595
145,img_145.png,BudweiserLata,58.866454293819,47.2662963409704,57.9245748627541,59.0769755264595
146,img_146.png,BudweiserLata,58.866454293819,47.2662963409704,57.9245748627541,59.0769755264595
147,img_147.png,BudweiserLata,45.9553684337492,50.160477194129,39.479901004403,57.8998126678863
148,img_148.png,BudweiserLata,45.9553684337492,50.160477194129,39.479901004403,57.8998126678863
149,img_149.png,BudweiserLata,45.9553684337492,50.160477194129,39.479901004403,57.8998126678863
150,img_150.png,BudweiserLata,42.1445719842991,60.6032923190545,49.5460424945079,46.4744739213758
151,img_151.png,BudweiserLata,42.1445719842991,60.6032923190545,49.5460424945079,46.4744739213758
152,img_152.png,BudweiserLata,42.1445719842991,60.6032923190545,49.5460424945079,46.4744739213758
153,img_153.png,BudweiserLata,65.7501579479823,38.8894998983522,62.8044687243487,71.7455953090933
154,img_154.png,BudweiserLata,65.7501579479823,38.8894998983522,62.8044687243487,71.7455953090933
155,img_155.png,BudweiserLata,65.7501579479823,38.8894998983522,62.8044687243487,71.7455953090933
156,img_156.png,BudweiserLata,52.1114236420837,40.1607004632365,63.698303606134,64.3619080887474
157,img_157.png,BudweiserLata,52.1114236420837,40.1607004632365,63.698303606134,64.3619080887474
158,img_158.png,BudweiserLata,52.1114236420837,40.1607004632365,63.698303606134,64.3619080887474
159,img_159.png,BudweiserLata,55.561519902747,43.74560095616,64.4593258239486,70.1264552379012
160,img_160.png,BudweiserLata,55.561519902747,43.74560095616,64.4593258239486,70.1264552379012
161,img_161.png,BudweiserLata,55.561519902747,43.74560095616,64.4593258239486,70.1264552379012
162,img_162.png,BudweiserLata,55.6175039047686,46.9824881513799,56.5906921179003,51.5311045725698
163,img_163.png,BudweiserLata,55.6175039047686,46.9824881513799,56.5906921179003,51.5311045725698
164,img_164.png,BudweiserLata,55.6175039047686,46.9824881513799,56.5906921179003,51.5311045725698
165,img_165.png,BudweiserLata,45.23452422865,36.9331239496102,60.6408586180181,74.83122625096
166,img_166.png,BudweiserLata,45.23452422865,36.9331239496102,60.6408586180181,74.83122625096
167,img_167.png,BudweiserLata,45.23452422865,36.9331239496102,60.6408586180181,74.83122625096
168,img_168.png,BudweiserLata,59,32,54,78
169,img_169.png,BudweiserLata,59,32,54,78
170,img_170.png,BudweiserLata,59,32,54,78
171,img_171.png,BudweiserLata,25.6827035494881,16.6287001301972,74.9896280409313,78.2709388909289
172,img_172.png,BudweiserLata,25.6827035494881,16.6287001301972,74.9896280409313,78.2709388909289
173,img_173.png,BudweiserLata,25.6827035494881,16.6287001301972,74.9896280409313,78.2709388909289
174,img_174.png,BudweiserLata,13.1304589249515,44.1693448176633,73.3531593878743,85.1369976978903
175,img_175.png,BudweiserLata,13.1304589249515,44.1693448176633,73.3531593878743,85.1369976978903
176,img_176.png,BudweiserLata,13.1304589249515,44.1693448176633,73.3531593878743,85.1369976978903
177,img_177.png,BudweiserLata,23.3688756923307,41.2060326809613,82.8079941306037,67.657344874869
178,img_178.png,BudweiserLata,23.3688756923307,41.2060326809613,82.8079941306037,67.657344874869
179,img_179.png,BudweiserLata,23.3688756923307,41.2060326809613,82.8079941306037,67.657344874869
180,img_180.png,BudweiserLata,48.9932189298252,5.95850462112297,66.7670403841977,93.8901047364419
181,img_181.png,BudweiserLata,48.9932189298252,5.95850462112297,66.7670403841977,93.8901047364419
182,img_182.png,BudweiserLata,48.9932189298252,5.95850462112297,66.7670403841977,93.8901047364419
183,img_183.png,BudweiserLata,45.597529678834,70.6375998352358,67.3878950563872,66.2264084317597
184,img_184.png,BudweiserLata,45.597529678834,70.6375998352358,67.3878950563872,66.2264084317597
185,img_185.png,BudweiserLata,45.597529678834,70.6375998352358,67.3878950563872,66.2264084317597
186,img_186.png,BudweiserLata,37.9830206975829,24.3062695056391,104.840925988379,97.002238957829
187,img_187.png,BudweiserLata,37.9830206975829,24.3062695056391,104.840925988379,97.002238957829
188,img_188.png,BudweiserLata,37.9830206975829,24.3062695056391,104.840925988379,97.002238957829
189,img_189.png,BudweiserLata,14.5390126425176,21.301000261652,88.2662229806006,114.94040557448
190,img_190.png,BudweiserLata,14.5390126425176,21.301000261652,88.2662229806006,114.94040557448
191,img_191.png,BudweiserLata,14.5390126425176,21.301000261652,88.2662229806006,114.94040557448
192,img_192.png,BudweiserLata,83.3686061759355,13.9279564974425,67.5047636822597,95.2963742916162
193,img_193.png,BudweiserLata,83.3686061759355,13.9279564974425,67.5047636822597,95.2963742916162
194,img_194.png,BudweiserLata,83.3686061759355,13.9279564974425,67.5047636822597,95.2963742916162
195,img_195.png,BudweiserLata,29.8084112560914,6.90855920661828,113.389913603999,92.6161458992728
196,img_196.png,BudweiserLata,29.8084112560914,6.90855920661828,113.389913603999,92.6161458992728
197,img_197.png,BudweiserLata,29.8084112560914,6.90855920661828,113.389913603999,92.6161458992728
198,img_198.png,BudweiserLata,-0.670661981686211,16.403587126578,85.4402743645438,76.7226759444179
199,img_199.png,BudweiserLata,-0.670661981686211,16.403587126578,85.4402743645438,76.7226759444179
200,img_200.png,BudweiserLata,-0.670661981686211,16.403587126578,85.4402743645438,76.7226759444179
201,img_201.png,BudweiserLata,-0.848721153045753,24.9636268524893,86.1091222481604,89.6991718151907
202,img_202.png,BudweiserLata,-0.848721153045753,24.9636268524893,86.1091222481604,89.6991718151907
203,img_203.png,BudweiserLata,-0.848721153045753,24.9636268524893,86.1091222481604,89.6991718151907
204,img_204.png,BudweiserLata,63.8577609246385,32.9701914633726,86.7584618148045,88.5109286408582
205,img_205.png,BudweiserLata,63.8577609246385,32.9701914633726,86.7584618148045,88.5109286408582
206,img_206.png,BudweiserLata,63.8577609246385,32.9701914633726,86.7584618148045,88.5109286408582
207,img_207.png,BudweiserLata,51.1119116532744,-0.718279789886344,90.7785230922027,105.788137024588
208,img_208.png,BudweiserLata,51.1119116532744,-0.718279789886344,90.7785230922027,105.788137024588
209,img_209.png,BudweiserLata,51.1119116532744,-0.718279789886344,90.7785230922027,105.788137024588
210,img_210.png,BudweiserLata,-0.79555033255502,21.4050152671346,93.4821177919314,128.383003049058
211,img_211.png,BudweiserLata,-0.79555033255502,21.4050152671346,93.4821177919314,128.383003049058
212,img_212.png,BudweiserLata,-0.79555033255502,21.4050152671346,93.4821177919314,128.383003049058
213,img_213.png,BudweiserLata,58.7289467235362,32.5037057876375,91.9690913367458,96.5240365484596
214,img_214.png,BudweiserLata,58.7289467235362,32.5037057876375,91.9690913367458,96.5240365484596
215,img_215.png,BudweiserLata,58.7289467235362,32.5037057876375,91.9690913367458,96.5240365484596
216,img_216.png,BudweiserLata,46.8449144991459,46.3193269648247,46.6116786587682,54.7649626969925
217,img_217.png,BudweiserLata,46.8449144991459,46.3193269648247,46.6116786587682,54.7649626969925
218,img_218.png,BudweiserLata,46.8449144991459,46.3193269648247,46.6116786587682,54.7649626969925
219,img_219.png,BudweiserLata,66.514696120641,40.8592675580414,48.3367541037483,61.9341293286599
220,img_220.png,BudweiserLata,66.514696120641,40.8592675580414,48.3367541037483,61.9341293286599
221,img_221.png,BudweiserLata,66.514696120641,40.8592675580414,48.3367541037483,61.9341293286599
222,img_222.png,BudweiserLata,38.955310965051,50.6886606207951,58.5054324036783,53.8724882494566
223,img_223.png,BudweiserLata,38.955310965051,50.6886606207951,58.5054324036783,53.8724882494566
224,img_224.png,BudweiserLata,38.955310965051,50.6886606207951,58.5054324036783,53.8724882494566
225,img_225.png,BudweiserLata,41.3970185504508,41.3313819160206,55.9654130428803,41.5213036237589
226,img_226.png,BudweiserLata,41.3970185504508,41.3313819160206,55.9654130428803,41.5213036237589
227,img_227.png,BudweiserLata,41.3970185504508,41.3313819160206,55.9654130428803,41.5213036237589
228,img_228.png,BudweiserLata,8.39218878734265,45.6625813520711,108.755000548674,70.9457081867875
229,img_229.png,BudweiserLata,8.39218878734265,45.6625813520711,108.755000548674,70.9457081867875
230,img_230.png,BudweiserLata,8.39218878734265,45.6625813520711,108.755000548674,70.9457081867875
231,img_231.png,BudweiserLata,42.5038666482799,59.8553905328703,53.8245711690266,50.5632575537369
232,img_232.png,BudweiserLata,42.5038666482799,59.8553905328703,53.8245711690266,50.5632575537369
233,img_233.png,BudweiserLata,42.5038666482799,59.8553905328703,53.8245711690266,50.5632575537369
234,img_234.png,BudweiserLata,54.6283039052158,38.8947592604646,47.5815812703114,48.4196908439152
235,img_235.png,BudweiserLata,54.6283039052158,38.8947592604646,47.5815812703114,48.4196908439152
236,img_236.png,BudweiserLata,54.6283039052158,38.8947592604646,47.5815812703114,48.4196908439152
237,img_237.png,BudweiserLata,60.6416507706109,59.5185035782569,49.0875738389219,43.3268336385319
238,img_238.png,BudweiserLata,60.6416507706109,59.5185035782569,49.0875738389219,43.3268336385319
239,img_239.png,BudweiserLata,60.6416507706109,59.5185035782569,49.0875738389219,43.3268336385319
240,img_240.png,BudweiserLata,55.8248855598462,45.1367560566142,50.2703647400921,63.0563321639762
241,img_241.png,BudweiserLata,55.8248855598462,45.1367560566142,50.2703647400921,63.0563321639762
242,img_242.png,BudweiserLata,55.8248855598462,45.1367560566142,50.2703647400921,63.0563321639762
243,img_243.png,BudweiserLata,45.3432975747646,39.0991161979985,71.9781842370978,76.4100228214681
244,img_244.png,BudweiserLata,45.3432975747646,39.0991161979985,71.9781842370978,76.4100228214681
245,img_245.png,BudweiserLata,45.3432975747646,39.0991161979985,71.9781842370978,76.4100228214681
246,img_246.png,BudweiserLata,13.9901346406534,32.5828921095994,91.4371469361587,75.2084667122051
247,img_247.png,BudweiserLata,13.9901346406534,32.5828921095994,91.4371469361587,75.2084667122051
248,img_248.png,BudweiserLata,13.9901346406534,32.5828921095994,91.4371469361587,75.2084667122051
249,img_249.png,BudweiserLata,32.6965812147158,46.8758698603721,82.7127481979937,61.8473021957677
250,img_250.png,BudweiserLata,32.6965812147158,46.8758698603721,82.7127481979937,61.8473021957677
251,img_251.png,BudweiserLata,32.6965812147158,46.8758698603721,82.7127481979937,61.8473021957677
252,img_0.png,BudweiserLongNeck,10,36,140.5,43
253,img_1.png,BudweiserLongNeck,0.5,23,140.5,82
254,img_2.png,BudweiserLongNeck,15,53,132,55
255,img_3.png,BudweiserLongNeck,20,48,130.5,60
256,img_4.png,BudweiserLongNeck,1,41,135,59
257,img_5.png,BudweiserLongNeck,0.5,38,126.5,60
258,img_6.png,BudweiserLongNeck,7,52,143.5,55
259,img_7.png,BudweiserLongNeck,3,47,147.5,55
260,img_8.png,BudweiserLongNeck,45,61,80,63
261,img_9.png,BudweiserLongNeck,24,46,126.5,57
262,img_10.png,BudweiserLongNeck,2,34,148.5,69
263,img_11.png,BudweiserLongNeck,1,21,130,80
264,img_12.png,BudweiserLongNeck,1,48,149.5,85
265,img_13.png,BudweiserLongNeck,0.5,53,150,72
266,img_14.png,BudweiserLongNeck,0.5,50,150,60
267,img_15.png,BudweiserLongNeck,1,47,111,58
268,img_16.png,BudweiserLongNeck,13,57,115,57
269,img_17.png,BudweiserLongNeck,21,61,92,62
270,img_18.png,BudweiserLongNeck,2,50,148.5,76
271,img_19.png,BudweiserLongNeck,0.5,17,150,69
272,img_20.png,BudweiserLongNeck,14,52,136.5,82
273,img_21.png,BudweiserLongNeck,5,57,145.5,71
274,img_22.png,BudweiserLongNeck,28,58,72,39
275,img_23.png,BudweiserLongNeck,11,55,139.5,66
276,img_24.png,BudweiserLongNeck,19,50,112,55
277,img_25.png,BudweiserLongNeck,37,55,88,52
278,img_26.png,BudweiserLongNeck,31,50,100,53
279,img_27.png,BudweiserLongNeck,18,58,114,45
280,img_28.png,BudweiserLongNeck,7,12,121,62
281,img_29.png,BudweiserLongNeck,35,30,115.5,57
282,img_30.png,BudweiserLongNeck,71,38,62,66
283,img_31.png,BudweiserLongNeck,0.5,56,150,64
284,img_32.png,BudweiserLongNeck,9,55,141.5,77
285,img_33.png,BudweiserLongNeck,28,52,74,50
286,img_34.png,BudweiserLongNeck,1,51,149.5,68
287,img_35.png,BudweiserLongNeck,7,56,143.5,56
288,img_36.png,BudweiserLongNeck,19,43,131.5,91
289,img_37.png,BudweiserLongNeck,46,21,55,48
290,img_38.png,BudweiserLongNeck,12,38,138.5,93
291,img_39.png,BudweiserLongNeck,9,29,129,79
292,img_40.png,BudweiserLongNeck,14,97,136.5,53.5
293,img_41.png,BudweiserLongNeck,15,106,129,44.5
294,img_42.png,BudweiserLongNeck,11,92,137,58.5
295,img_43.png,BudweiserLongNeck,3,102,147.5,48.5
296,img_44.png,BudweiserLongNeck,0.5,82,150,63
297,img_45.png,BudweiserLongNeck,24,86,126.5,57
298,img_46.png,BudweiserLongNeck,2,31,146,76
299,img_47.png,BudweiserLongNeck,54,36,69,93
300,img_48.png,BudweiserLongNeck,62,51,60,51
301,img_49.png,BudweiserLongNeck,15,39,123,67
302,img_50.png,BudweiserLongNeck,14.7097550851328,40.8273771347501,99.7188901135812,84.2379607932166
303,img_51.png,BudweiserLongNeck,14.7097550851328,40.8273771347501,99.7188901135812,84.2379607932166
304,img_52.png,BudweiserLongNeck,14.7097550851328,40.8273771347501,99.7188901135812,84.2379607932166
305,img_53.png,BudweiserLongNeck,23.0496894675009,27.3654165601578,117.748996860554,105.284616660244
306,img_54.png,BudweiserLongNeck,23.0496894675009,27.3654165601578,117.748996860554,105.284616660244
307,img_55.png,BudweiserLongNeck,23.0496894675009,27.3654165601578,117.748996860554,105.284616660244
308,img_56.png,BudweiserLongNeck,36.143692644516,22.8282224839348,71.5492085241242,116.178079139996
309,img_57.png,BudweiserLongNeck,36.143692644516,22.8282224839348,71.5492085241242,116.178079139996
310,img_58.png,BudweiserLongNeck,36.143692644516,22.8282224839348,71.5492085241242,116.178079139996
311,img_59.png,BudweiserLongNeck,35.2888839520862,20.9527352511808,91.9679062281586,99.4119795950892
312,img_60.png,BudweiserLongNeck,35.2888839520862,20.9527352511808,91.9679062281586,99.4119795950892
313,img_61.png,BudweiserLongNeck,35.2888839520862,20.9527352511808,91.9679062281586,99.4119795950892
314,img_62.png,BudweiserLongNeck,23.9279269099239,36.3318255460492,106.90597464474,87.8802518445965
315,img_63.png,BudweiserLongNeck,23.9279269099239,36.3318255460492,106.90597464474,87.8802518445965
316,img_64.png,BudweiserLongNeck,23.9279269099239,36.3318255460492,106.90597464474,87.8802518445965
317,img_65.png,BudweiserLongNeck,28.4421157988913,40.9779308696551,101.951669292747,85.3041618426209
318,img_66.png,BudweiserLongNeck,28.4421157988913,40.9779308696551,101.951669292747,85.3041618426209
319,img_67.png,BudweiserLongNeck,28.4421157988913,40.9779308696551,101.951669292747,85.3041618426209
320,img_68.png,BudweiserLongNeck,38.4632691071352,14.9350007212404,81.6563907230318,117.537748880614
321,img_69.png,BudweiserLongNeck,38.4632691071352,14.9350007212404,81.6563907230318,117.537748880614
322,img_70.png,BudweiserLongNeck,38.4632691071352,14.9350007212404,81.6563907230318,117.537748880614
323,img_71.png,BudweiserLongNeck,36.2072967847139,11.1450453787439,77.6889802115382,124.822834003299
324,img_72.png,BudweiserLongNeck,36.2072967847139,11.1450453787439,77.6889802115382,124.822834003299
325,img_73.png,BudweiserLongNeck,36.2072967847139,11.1450453787439,77.6889802115382,124.822834003299
326,img_74.png,BudweiserLongNeck,31.0908191310452,49.3332403456863,67.993525517835,75.5934831148679
327,img_75.png,BudweiserLongNeck,31.0908191310452,49.3332403456863,67.993525517835,75.5934831148679
328,img_76.png,BudweiserLongNeck,31.0908191310452,49.3332403456863,67.993525517835,75.5934831148679
329,img_77.png,BudweiserLongNeck,29.6654085272943,15.736821520653,81.4724001129015,102.811447704542
330,img_78.png,BudweiserLongNeck,29.6654085272943,15.736821520653,81.4724001129015,102.811447704542
331,img_79.png,BudweiserLongNeck,29.6654085272943,15.736821520653,81.4724001129015,102.811447704542
332,img_80.png,BudweiserLongNeck,21.4562554276007,16.1760168059691,97.7903855166498,120.6893278132
333,img_81.png,BudweiserLongNeck,21.4562554276007,16.1760168059691,97.7903855166498,120.6893278132
334,img_82.png,BudweiserLongNeck,21.4562554276007,16.1760168059691,97.7903855166498,120.6893278132
335,img_83.png,BudweiserLongNeck,25.5427895482801,38.1973228987668,119.201358597844,91.4057772415746
336,img_84.png,BudweiserLongNeck,25.5427895482801,38.1973228987668,119.201358597844,91.4057772415746
337,img_85.png,BudweiserLongNeck,25.5427895482801,38.1973228987668,119.201358597844,91.4057772415746
338,img_86.png,BudweiserLongNeck,14.3333975531264,7.74773885556892,95.0887817057027,140.452763737296
339,img_87.png,BudweiserLongNeck,14.3333975531264,7.74773885556892,95.0887817057027,140.452763737296
340,img_88.png,BudweiserLongNeck,14.3333975531264,7.74773885556892,95.0887817057027,140.452763737296
341,img_89.png,BudweiserLongNeck,27.4631182886755,11.3289350889909,109.390534399195,113.494640388232
342,img_90.png,BudweiserLongNeck,27.4631182886755,11.3289350889909,109.390534399195,113.494640388232
